RespId,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q30,ppage,educ,race,gender,income_cat,voter_category
470001,1,1,4,4,3,2,2,1,2,2,2,2,1,2,73,1,4,1,3,1
470002,3,3,4,3,3,2,2,2,2,3,3,1,1,3,90,1,4,1,4,1
470003,2,2,3,3,2,2,2,2,3,3,2,3,1,2,53,1,4,2,4,2
470007,1,1,4,4,2,1,1,2,2,2,2,2,1,2,58,3,1,1,2,2
480008,4,1,1,1,2,4,1,1,1,1,1,1,1,1,81,2,4,2,2,1
480009,1,2,1,2,2,2,4,3,3,3,4,2,2,5,61,2,4,1,2,3
480010,2,3,3,2,2,2,2,1,1,2,1,1,1,1,80,2,4,1,4,1
470008,2,3,3,1,1,2,1,1,2,2,2,3,1,2,68,3,3,1,3,1
470010,1,4,2,1,2,1,2,2,2,4,3,3,1,1,70,1,4,2,4,1
470011,3,3,3,2,3,2,2,3,3,3,2,3,1,3,83,3,4,2,4,1
470013,3,3,2,2,2,3,2,2,3,3,3,3,1,1,43,1,4,2,3,2
470016,1,1,4,4,3,1,2,1,1,2,1,2,1,2,42,1,4,1,4,2
480020,4,4,1,1,1,4,1,1,1,3,2,4,1,1,48,1,4,2,2,3
470017,1,1,4,1,1,1,2,2,2,4,2,2,2,5,52,3,4,2,4,2
470018,3,4,4,1,2,1,2,2,2,4,2,1,1,1,80,2,4,1,2,1
470019,3,4,4,1,2,2,1,1,1,2,1,2,1,1,76,2,4,1,3,2
470022,4,2,4,4,3,4,1,1,1,1,1,1,1,2,73,3,4,1,1,1
470025,4,4,1,1,3,3,1,1,1,1,2,1,1,1,52,1,4,1,4,1
470027,3,4,3,2,2,2,2,1,1,2,3,3,1,5,63,3,4,2,3,1
470028,2,4,3,2,2,2,1,2,3,2,1,1,2,5,81,3,4,2,1,1
470029,2,3,1,1,1,2,3,2,4,1,2,2,2,5,46,3,3,2,1,3
